outcome,label,seed,run_id,source_jid,step,target_step,N,D,L,n_tickers,source,D_B
heldout_ce,10M,42,10M-s42,4507579,35320,84335,11002899,58772480000,0.6112525925743996,487,test_ce_sp500_jan2026,58.77248
heldout_ce,10M,42,10M-s42,4507579,38210,84335,11002899,63581440000,0.6101895692534516,487,test_ce_sp500_jan2026,63.58144
heldout_ce,10M,42,10M-s42,4507579,42930,84335,11002899,71435520000,0.6070305692219391,487,test_ce_sp500_jan2026,71.43552
heldout_ce,10M,42,10M-s42,4507579,47650,84335,11002899,79289600000,0.6045322189952803,487,test_ce_sp500_jan2026,79.2896
heldout_ce,10M,42,10M-s42,4507579,52360,84335,11002899,87127040000,0.6027182052390042,487,test_ce_sp500_jan2026,87.12704
heldout_ce,10M,42,10M-s42,4507579,57060,84335,11002899,94947840000,0.6007277800317173,487,test_ce_sp500_jan2026,94.94784
heldout_ce,10M,42,10M-s42,4507579,63810,84335,11002899,106179840000,0.5982177898869132,487,test_ce_sp500_jan2026,106.17984
heldout_ce,10M,42,10M-s42,4507579,68510,84335,11002899,114000640000,0.597093940454342,487,test_ce_sp500_jan2026,114.00064
heldout_ce,10M,42,10M-s42,4507579,75560,84335,11002899,125731840000,0.5954683107884268,487,test_ce_sp500_jan2026,125.73184
heldout_ce,10M,42,10M-s42,4507579,84340,84335,11002899,140341760000,0.5941753615099302,487,test_ce_sp500_jan2026,140.34176
heldout_ce,10M,137,10M-s137,4499378,550,84335,11002899,915200000,1.4328430073461984,487,gap_fill_pred4499378,0.9152
heldout_ce,10M,137,10M-s137,4499378,2870,84335,11002899,4775680000,0.7318502355527584,487,gap_fill_pred4499378,4.77568
heldout_ce,10M,137,10M-s137,4499378,7520,84335,11002899,12513280000,0.6473517627809082,487,gap_fill_pred4499378,12.51328
heldout_ce,10M,137,10M-s137,4499378,16660,84335,11002899,27722240000,0.620339754976531,487,gap_fill_pred4499378,27.72224
heldout_ce,10M,137,10M-s137,4499378,37380,84335,11002899,62200320000,0.60178811067918,487,gap_fill_pred4499378,62.20032
heldout_ce,10M,137,10M-s137,4510112,53210,84335,11002899,88541440000,0.5954007839887294,487,test_ce_sp500_jan2026,88.54144
heldout_ce,10M,137,10M-s137,4510112,56130,84335,11002899,93400320000,0.5942731202260669,487,test_ce_sp500_jan2026,93.40032
heldout_ce,10M,137,10M-s137,4510112,58470,84335,11002899,97294080000,0.5935662723542239,487,test_ce_sp500_jan2026,97.29408
heldout_ce,10M,137,10M-s137,4510112,63060,84335,11002899,104931840000,0.5919379847128043,487,test_ce_sp500_jan2026,104.93184
heldout_ce,10M,137,10M-s137,4510112,65400,84335,11002899,108825600000,0.5909456132740945,487,test_ce_sp500_jan2026,108.8256
heldout_ce,10M,137,10M-s137,4510112,67750,84335,11002899,112736000000,0.5903594200126444,487,test_ce_sp500_jan2026,112.736
heldout_ce,10M,137,10M-s137,4510112,72440,84335,11002899,120540160000,0.5892599695639443,487,test_ce_sp500_jan2026,120.54016
heldout_ce,10M,137,10M-s137,4510112,77120,84335,11002899,128327680000,0.5884225959650545,487,test_ce_sp500_jan2026,128.32768
heldout_ce,10M,137,10M-s137,4510112,79470,84335,11002899,132238080000,0.5881583948889307,487,test_ce_sp500_jan2026,132.23808
heldout_ce,10M,137,10M-s137,4510112,84340,84335,11002899,140341760000,0.5878065197252395,487,test_ce_sp500_jan2026,140.34176
heldout_ce,14M,5,14M-s5,4507584,20900,74486,14445623,34777600000,0.6120432772553187,487,test_ce_sp500_jan2026,34.7776
heldout_ce,14M,5,14M-s5,4507584,23530,74486,14445623,39153920000,0.6090553099981814,487,test_ce_sp500_jan2026,39.15392
heldout_ce,14M,5,14M-s5,4507584,27740,74486,14445623,46159360000,0.6060013356762011,487,test_ce_sp500_jan2026,46.15936
heldout_ce,14M,5,14M-s5,4507584,31920,74486,14445623,53114880000,0.6030100282335183,487,test_ce_sp500_jan2026,53.11488
heldout_ce,14M,5,14M-s5,4507584,36100,74486,14445623,60070400000,0.5996394834846441,487,test_ce_sp500_jan2026,60.0704
heldout_ce,14M,5,14M-s5,4507584,42370,74486,14445623,70503680000,0.5960516563675976,487,test_ce_sp500_jan2026,70.50368
heldout_ce,14M,5,14M-s5,4507584,48590,74486,14445623,80853760000,0.5934507315041349,487,test_ce_sp500_jan2026,80.85376
heldout_ce,14M,5,14M-s5,4507584,56950,74486,14445623,94764800000,0.5894883839256709,487,test_ce_sp500_jan2026,94.7648
heldout_ce,14M,5,14M-s5,4507584,65240,74486,14445623,108559360000,0.5871611248541172,487,test_ce_sp500_jan2026,108.55936
heldout_ce,14M,5,14M-s5,4507584,74490,74486,14445623,123951360000,0.5859867309275594,487,test_ce_sp500_jan2026,123.95136
