size_order,label,nominal_seed,run_id,attempt_rank,observed_segment_rank,jid,wandb_run_id,wandb_state,segment_role,global_step,step_loss,progress,target_step,cross_seed_restore
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,7530,0.9831865429878236,0.7102433503112621,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,7720,0.9795987010002136,0.728164497264667,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,7910,0.969693958759308,0.7460856442180721,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8100,0.9630343317985536,0.7640067911714771,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8290,0.9716436266899108,0.7819279381248821,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8470,0.9584684371948242,0.7989058668175816,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8660,0.9700998663902284,0.8168270137709867,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8750,0.9746757745742798,0.8253159781173364,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,8950,0.9579312205314636,0.8441803433314469,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,9140,0.9741062521934508,0.862101490284852,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,9330,0.9664889574050904,0.8800226372382569,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,9520,0.9622440338134766,0.897943784191662,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,9710,0.9634624719619752,0.915864931145067,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,9900,0.9410339593887328,0.933786078098472,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,10090,0.9467921257019044,0.951707225051877,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,10270,0.9689353108406068,0.9686851537445765,10602,False
0,0p2M,42,0p2M-s42,7,0,j4499068,9itlcx0n,finished,final,10450,0.958844006061554,0.985663082437276,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1020,1.210007905960083,0.09620826259196379,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1180,1.1560338735580444,0.11129975476325221,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1350,1.1064921617507937,0.1273344651952462,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1530,1.082407832145691,0.14431239388794567,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1710,1.0734373331069946,0.16129032258064516,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,1900,1.04002845287323,0.17921146953405018,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,2090,1.0151249170303345,0.1971326164874552,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,2270,1.003667235374451,0.21411054518015468,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,2460,1.011003017425537,0.2320316921335597,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,2660,1.0180591344833374,0.25089605734767023,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,2840,0.981549859046936,0.2678739860403697,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3030,0.9821189045906068,0.28579513299377474,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3150,0.9635376930236816,0.29711375212224106,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3350,0.9757928848266602,0.3159781173363516,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3540,0.9596120715141296,0.33389926428975664,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3730,0.9562281966209412,0.35182041124316166,10602,False
0,0p2M,137,0p2M-s137,7,0,j4499073,1txg2mng,crashed,crashed_pre_resume,3920,0.9446777701377868,0.3697415581965667,10602,False
