size_order,label,seed,run_id,attempt_rank,jid,has_loss_data,wandb_run_id,wandb_state,n_points,step_min,step_max
5,14M,42,14M-s42,2,j4424851,False,,,0,,
5,14M,42,14M-s42,3,j4499394,True,yujtep7v,crashed,348,1020.0,49970.0
5,14M,42,14M-s42,4,j4508667,False,,,0,,
5,14M,42,14M-s42,5,j4508823,True,mhaiily7,finished,174,50010.0,74370.0
5,14M,137,14M-s137,0,j4420240,False,,,0,,
5,14M,137,14M-s137,1,j4422352,False,,,0,,
5,14M,137,14M-s137,2,j4424852,False,,,0,,
5,14M,137,14M-s137,3,j4499407,True,cdexu3at,crashed,349,1050.0,49540.0
5,14M,137,14M-s137,4,j4508668,False,,,0,,
5,14M,137,14M-s137,5,j4508836,True,baqhtzle,crashed,40,49660.0,55210.0
5,14M,137,14M-s137,6,j4510296,True,8jz1l24q,finished,145,54380.0,74410.0
6,23M,5,23M-s5,0,j4420241,False,,,0,,
6,23M,5,23M-s5,1,j4422353,False,,,0,,
6,23M,5,23M-s5,2,j4499408,True,culy6048,crashed,350,1020.0,72020.0
6,23M,5,23M-s5,3,j4508673,False,,,0,,
6,23M,5,23M-s5,4,j4508846,True,sr0txhxx,finished,110,71560.0,93790.0
6,23M,137,23M-s137,0,j4420243,False,,,0,,
6,23M,137,23M-s137,1,j4422356,False,,,0,,
6,23M,137,23M-s137,2,j4424855,False,,,0,,
6,23M,137,23M-s137,3,j4508675,True,mkfwf4td,finished,457,1160.0,93800.0
7,46M,5,46M-s5,0,j4420244,False,,,0,,
7,46M,5,46M-s5,1,j4422357,False,,,0,,
7,46M,5,46M-s5,2,j4424856,False,,,0,,
7,46M,5,46M-s5,3,j4498646,False,,,0,,
7,46M,5,46M-s5,4,j4508676,True,w3awke96,finished,406,1090.0,53970.0
7,46M,5,46M-s5,5,j4514373,False,,,0,,
7,46M,42,46M-s42,0,j4420245,False,,,0,,
7,46M,42,46M-s42,1,j4422358,False,,,0,,
7,46M,42,46M-s42,2,j4424857,False,,,0,,
7,46M,42,46M-s42,3,j4508677,True,28bcfloa,finished,408,1030.0,55460.0
7,46M,42,46M-s42,4,j4514385,True,sdhc3zqy,finished,103,49700.0,63320.0
7,46M,137,46M-s137,0,j4420246,False,,,0,,
7,46M,137,46M-s137,1,j4422359,False,,,0,,
7,46M,137,46M-s137,2,j4424858,False,,,0,,
7,46M,137,46M-s137,3,j4508678,True,jm7ls6ao,finished,407,1010.0,55280.0
7,46M,137,46M-s137,4,j4514395,True,3468722o,finished,53,56370.0,63370.0
8,78M,5,78M-s5,0,j4420247,False,,,0,,
8,78M,5,78M-s5,1,j4422360,False,,,0,,
8,78M,5,78M-s5,2,j4499538,True,5vu8avcx,finished,290,1010.0,28710.0
8,78M,42,78M-s42,0,j4420248,False,,,0,,
